Team #,CMP,Event,P(DCMP)
7254,2024micmp,FIRST in Michigan State Championship,0
7256,2024micmp,FIRST in Michigan State Championship,0
7289,2024micmp,FIRST in Michigan State Championship,0
74,2024micmp,FIRST in Michigan State Championship,0
7491,2024micmp,FIRST in Michigan State Championship,0
7501,2024micmp,FIRST in Michigan State Championship,1
7553,2024micmp,FIRST in Michigan State Championship,0
7597,2024micmp,FIRST in Michigan State Championship,0
7598,2024micmp,FIRST in Michigan State Championship,0
7602,2024micmp,FIRST in Michigan State Championship,0
7656,2024micmp,FIRST in Michigan State Championship,0
7658,2024micmp,FIRST in Michigan State Championship,0
7660,2024micmp,FIRST in Michigan State Championship,1
7692,2024micmp,FIRST in Michigan State Championship,0
7713,2024micmp,FIRST in Michigan State Championship,0
7716,2024micmp,FIRST in Michigan State Championship,0
7762,2024micmp,FIRST in Michigan State Championship,1
7768,2024micmp,FIRST in Michigan State Championship,1
7769,2024micmp,FIRST in Michigan State Championship,1
7772,2024micmp,FIRST in Michigan State Championship,0
7782,2024micmp,FIRST in Michigan State Championship,1
7784,2024micmp,FIRST in Michigan State Championship,0
7790,2024micmp,FIRST in Michigan State Championship,0
7794,2024micmp,FIRST in Michigan State Championship,0
7808,2024micmp,FIRST in Michigan State Championship,0
7809,2024micmp,FIRST in Michigan State Championship,0
7810,2024micmp,FIRST in Michigan State Championship,0
7811,2024micmp,FIRST in Michigan State Championship,0
7813,2024micmp,FIRST in Michigan State Championship,0
7814,2024micmp,FIRST in Michigan State Championship,0
7818,2024micmp,FIRST in Michigan State Championship,0
7826,2024micmp,FIRST in Michigan State Championship,0
7855,2024micmp,FIRST in Michigan State Championship,0
7856,2024micmp,FIRST in Michigan State Championship,0
7865,2024micmp,FIRST in Michigan State Championship,0
7911,2024micmp,FIRST in Michigan State Championship,0
8041,2024micmp,FIRST in Michigan State Championship,0
8115,2024micmp,FIRST in Michigan State Championship,0
8124,2024micmp,FIRST in Michigan State Championship,0
8126,2024micmp,FIRST in Michigan State Championship,0
815,2024micmp,FIRST in Michigan State Championship,1
8179,2024micmp,FIRST in Michigan State Championship,1
818,2024micmp,FIRST in Michigan State Championship,1
8193,2024micmp,FIRST in Michigan State Championship,0
